Police_Station,Date_Time,Date,Time,Location,Loc_Id,ACT-379-380_454_457,ACT-294_506,Latitude,Longitude
Civil_Line,22.10.2019 16:00,22-10-19,16:00,Street,5,1,0,21.244697,81.643531
Civil_Line,27.10.2019 20:00,27-10-19,20:00,House,2,1,0,21.249133,81.654282
Civil_Line,27.10.2019 21:00,27-10-19,21:00,Street,5,1,0,21.24528,81.643263
Civil_Line,05.10.2019 17:45,05-10-19,17:45,Street,5,1,0,21.245,81.642176
Civil_Line,05.11.2019 16:30,05-11-19,16:30,Street,5,1,0,21.246895,81.641919
Civil_Line,08.11.2019 19:30,08-11-19,19:30,Street,5,1,0,21.24332,81.649587
Civil_Line,06.10.2019 10:00,06-10-19,10:00,Street,5,1,0,21.252361,81.646373
Civil_Line,15.11.2019 18:00,15-11-19,18:00,Street,5,1,0,21.249045,81.655447
Civil_Line,19.11.2019 18:40,19-11-19,18:40,Street,5,1,0,21.228782,81.659722
Civil_Line,22.11.2019 14:35,22-11-19,14:35,Street,5,1,0,21.246895,81.641919
Civil_Line,28.11.2019 22:10,28-11-19,22:10,Street,5,1,0,21.253282,81.652329
Civil_Line,05.12.2019 20:00,05-12-19,20:00,Street,5,1,0,21.247733,81.646059
Civil_Line,08.12.2019 21:40,08-12-19,21:40,Street,5,1,0,21.248882,81.655385
Civil_Line,11.12.2019 15:15,11-12-19,15:15,Street,5,1,0,21.256426,81.65291
Civil_Line,12.12.2019 19:15,12-12-19,19:15,Street,5,1,0,21.251558,81.647673
Civil_Line,15.12.2019 20:15,15-12-19,20:15,Street,5,1,0,21.246738,81.645657
Civil_Line,18.12.2019 16:10,18-12-19,16:10,Street,5,1,0,21.24425,81.644966
Civil_Line,24.12.2019 12:30,24-12-19,12:30,Street,5,1,0,21.246804,81.64272
Civil_Line,16.12.2019 11:45,16-12-19,11:45,Street,5,1,0,21.245818,81.643653
Civil_Line,28.12.2019 14:10,28-12-19,14:10,Street,5,1,0,21.242701,81.652044
Civil_Line,07.01.2019 18:30,07-01-19,18:30,Shop,4,0,1,21.256868,81.647811
Civil_Line,16.01.2019 03:00,16-01-19,3:00,House,2,0,1,21.248892,81.650273
Civil_Line,17.01.2019 12:30,17-01-19,12:30,Shop,4,0,1,21.245297,81.654697
Civil_Line,18.01.2019 21:45,18-01-19,21:45,Shop,4,0,1,21.239152,81.651767
Civil_Line,22.01.2019 18:30,22-01-19,18:30,Street,5,0,1,21.252308,81.651576
Civil_Line,26.10.2019 00:00,26-10-19,0:00,Street,5,0,1,21.246895,81.641919
Civil_Line,01.02.2019 22:30,01-02-19,22:30,Street,5,0,1,21.234596,81.651286
Civil_Line,02.02.2019 13:30,02-02-19,13:30,House,2,0,1,21.248892,81.650273
Civil_Line,04.02.2019 22:40,04-02-19,22:40,Street,5,0,1,21.254002,81.655545
Civil_Line,05.02.2019 08:45,05-02-19,8:45,House,2,0,1,21.252308,81.651576
Civil_Line,11.02.2019 19:00,11-02-19,19:00,House,2,0,1,21.249855,81.655884
Civil_Line,19.02.2019 15:30,19-02-19,15:30,Street,5,0,1,21.245802,81.647312
Civil_Line,21.02.2019 16:45,21-02-19,16:45,Shop,4,0,1,21.242265,81.655273
Civil_Line,24.02.2019 20:30,24-02-19,20:30,Street,5,0,1,21.239152,81.651767
Civil_Line,24.02.2019 22:00,24-02-19,22:00,Street,5,0,1,21.239152,81.651767
Civil_Line,26.02.2019 16:30,26-02-19,16:30,Street,5,0,1,21.250453,81.661867
Civil_Line,27.02.2019 06:00,27-02-19,6:00,Street,5,0,1,21.248892,81.650273
Civil_Line,02.03.2019 22:00,02-03-19,22:00,Shop,4,0,1,21.256868,81.647811
Civil_Line,21.03.2019 13:30,21-03-19,13:30,Street,5,0,1,21.239152,81.651767
Civil_Line,29.03.2019 19:47,29-03-19,19:47,Street,5,0,1,21.250453,81.661867
Civil_Line,30.03.2019 20:15,30-03-19,20:15,Street,5,0,1,21.252308,81.651576
Civil_Line,31.03.2019 15:30,31-03-19,15:30,Street,5,0,1,21.254219,81.650599
Civil_Line,31.03.2019 15:30,31-03-19,15:30,Street,5,0,1,21.256868,81.647811
Civil_Line,05.04.2019 21:30,05-04-19,21:30,Street,5,0,1,21.244623,81.652713
Civil_Line,05.04.2019 22:00,05-04-19,22:00,Street,5,0,1,21.244623,81.652713
Civil_Line,11.04.2019 21:15,11-04-19,21:15,Street,5,0,1,21.248892,81.650273
Civil_Line,12.04.2019 21:30,12-04-19,21:30,Street,5,0,1,21.242265,81.655273
Civil_Line,13.04.2019 13:30,13-04-19,13:30,Street,5,0,1,21.236402,81.646528
Civil_Line,14.04.2019 02:00,14-04-19,2:00,Street,5,0,1,21.243429,81.65366
Civil_Line,16.04.2019 22:45,16-04-19,22:45,Street,5,0,1,21.248892,81.650273
Civil_Line,28.04.2019 17:00,28-04-19,17:00,House,2,0,1,21.239135,81.646328
Civil_Line,28.04.2019 17:00,28-04-19,17:00,House,2,0,1,21.239135,81.646328
Civil_Line,04.05.2019 16:00,04-05-19,16:00,Street,5,0,1,21.239152,81.651767
Civil_Line,09.05.2019 01:30,09-05-19,1:30,Street,5,0,1,21.254219,81.650599
Civil_Line,16.05.2019 14:15,16-05-19,14:15,Street,5,0,1,21.239152,81.651767
Civil_Line,21.05.2019 01:30,21-05-19,1:30,Street,5,0,1,21.248892,81.650273
Civil_Line,20.05.2019 03:45,20-05-19,3:45,Street,5,0,1,21.249855,81.655884
Civil_Line,23.05.2019 01:00,23-05-19,1:00,Street,5,0,1,21.256868,81.647811
Civil_Line,29.05.2019 10:15,29-05-19,10:15,Street,5,0,1,21.243429,81.65366
Civil_Line,29.05.2019 10:15,29-05-19,10:15,Street,5,0,1,21.243429,81.65366
Civil_Line,03.06.2019 19:15,03-06-19,19:15,Street,5,0,1,21.249855,81.655884
Civil_Line,04.06.2019 23:30,04-06-19,23:30,Street,5,0,1,21.241009,81.641748
Civil_Line,06.06.2019 18:30,06-06-19,18:30,House,2,0,1,21.234113,81.654661
Civil_Line,06.06.2019 18:30,06-06-19,18:30,House,2,0,1,21.234113,81.654661
Civil_Line,09.06.2019 23:00,09-06-19,23:00,Street,5,0,1,21.256868,81.647811
Civil_Line,11.06.2019 06:45,11-06-19,6:45,Street,5,0,1,21.243429,81.65366
Civil_Line,13.06.2019 11:45,13-06-19,11:45,Street,5,0,1,21.250453,81.661867
Civil_Line,16.06.2019 23:10,16-06-19,23:10,Street,5,0,1,21.254219,81.650599
Civil_Line,19.06.2019 19:00,19-06-19,19:00,Street,5,0,1,21.234113,81.654661
Civil_Line,23.06.2019 22:50,23-06-19,22:50,House,2,0,1,21.244623,81.652713
Civil_Line,29.06.2019 23:30,29-06-19,23:30,Street,5,0,1,21.252308,81.651576
Civil_Line,03.07.2019 20:00,03-07-19,20:00,Street,5,0,1,21.256868,81.647811
Civil_Line,12.07.2019 20:00,12-07-19,20:00,Street,5,0,1,21.239152,81.651767
Civil_Line,15.07.2019 18:45,15-07-19,18:45,Street,5,0,1,21.234113,81.654661
